id,name_ja,name_zh,name_en,occupation,status,aliases,debut_date,retirement_date,comeback_date,birth_date,height_cm,cup,bust_cm,waist_cm,hip_cm,birthplace_ja,blood_type,agency,biography_zh
person_000001,桃乃木かな,桃乃木香奈,Kana Momonogi,actress,retired,松嶋真麻,2015-10-19,2025,,1996-12-24,153,E,80,54,80,東京都,AB,Life Promotion,2015年出道并长期作为IdeaPocket专属女优活动，亦从事歌手、综艺及网络内容活动；2025年结束AV女优活动。
person_000002,石川澪,石川澪,Mio Ishikawa,actress,active,石川みお,2021-10-05,,,2002-03-20,158,B,78,56,88,,,ALIVE,2021年以MOODYZ专属身份出道，现隶属ALIVE，并持续参与作品、写真和综艺活动。
person_000003,河北彩花,河北彩花,Saika Kawakita,actress,active,河北彩伽,2018,,2021,1999-04-24,169,E,87,57,86,千葉県,O,T-POWERS,2018年以S1专属身份出道，短暂离开后于2021年复出；曾使用河北彩伽名义，2026年恢复河北彩花并加入T-POWERS。
person_000004,橘メアリー,橘玛丽,Mary Tachibana,actress,retired,,2014,2025,,1993-07-07,168,H,99,63,94,東京都,O,LIGHT,2014年出道，隶属LIGHT，也以歌手、DJ及艺人身份活动；2025年宣布结束AV女优活动。
person_000005,宮西ひかる,宫西光,Hikaru Miyanishi,actress,active,藤井知花,2022,,,1999-08-22,161,E,88,61,86,,,LIGHT,2022年以专属女优身份展开主要活动，后持续参与多家厂牌作品。
person_000006,白桃はな,白桃花,Hana Shirato,actress,retired,はな;はなちゃん;ももか;持田葵,2020,2024,,2000-05-12,153,C,78,58,88,山形県,B,,2020年出道，曾隶属Mine’s；2024年后事务所页面和公开活动均无法确认，当前按已结束活动记录。
person_000007,小野坂ゆいか,小野坂由衣香,Yuika Onosaka,actress,active,小野坂唯香;星野聖七,2024,,,2002-02-09,164,H,97,62,100,,A,T-POWERS,2024年以专属女优身份展开活动，后转为企划单体并加入T-POWERS。
person_000008,八木奈々,八木奈奈,Nana Yagi,actress,active,,2019,,,2000-09-03,156,E,82,56,86,長野県,,Mine's,2019年以MOODYZ专属身份出道，隶属Mine’s，同时参与影视、综艺、模特及偶像活动。
person_000009,楓カレン,枫花恋,Karen Kaede,actress,active,田中レモン,2018,,,1999-08-25,162,D,82,59,81,東京都,O,Life Promotion,2018年以IdeaPocket专属身份出道，后经历活动阶段变化，并持续参与影视和综艺活动。
person_000010,楓ふうあ,枫风亚,Fua Kaede,actress,active,,2021-08,,,2001-04-20,170,F,93,59,88,,A,c-more ENTERTAINMENT,2021年以S1专属身份出道，后移籍c-more ENTERTAINMENT。
person_000011,村上悠華,村上悠华,Yuka Murakami,actress,active,,2023-09,,,2003-01-30,163,E,85,59,88,東京都,,LIGHT,2023年以S1专属身份出道，隶属LIGHT，并参与写真及公开活动。
person_000012,永野一夏,永野一夏,Ichika Nagano,actress,unknown,いちか;永野いち夏,2019-06,,,1997-11-23,150,C,78,54,75,神奈川県,A,DINO,2019年出道，曾以“永野いち夏”等写法活动；当前公开活动状态不足以可靠判定。
person_000013,瀬戸環奈,濑户环奈,Kanna Seto,actress,active,セトカン,2025,,,2004-05-10,170,J,101,59,91,神奈川県,B,Bstar,2025年展开写真与S1专属女优活动，隶属Bstar。
